image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0.png,DRIP,336,336,2,144,4571.0,33620.0,28224,9967,0.13596073765615704,0.45861342430019064
0.png,Fixed,336,336,2,144,2280.0,35911.0,28224,9967,0.06349029545264682,0.22875489114076453
0.png,PruneSID,336,336,2,143,4162.0,33833.0,28028,9967,0.1230159903053232,0.41757800742450085
1.png,DRIP,336,336,11,144,5188.0,31749.0,28224,8713,0.16340672147154242,0.5954321129346953
1.png,Fixed,336,336,11,144,2281.0,34656.0,28224,8713,0.06581832871652817,0.2617927235165844
1.png,PruneSID,336,336,11,143,4653.0,32088.0,28028,8713,0.1450074794315632,0.5340296109262023
10.png,DRIP,336,336,44,145,7680.0,39307.0,28420,18567,0.19538504592057393,0.4136370980772338
10.png,Fixed,336,336,44,144,4469.0,42322.0,28224,18567,0.1055951987146165,0.2406958582431195
10.png,PruneSID,336,336,44,143,7644.0,38951.0,28028,18567,0.19624656619855715,0.41169817417999677
100.png,DRIP,336,336,14,144,3388.0,35236.0,28224,10400,0.09615166307185832,0.32576923076923076
100.png,Fixed,336,336,14,144,2460.0,36164.0,28224,10400,0.06802344873354717,0.23653846153846153
100.png,PruneSID,336,336,14,143,4867.0,33561.0,28028,10400,0.14501951670093263,0.46798076923076926
1000.png,DRIP,336,336,9,144,2700.0,32089.0,28224,6565,0.08414098289133348,0.4112718964204113
1000.png,Fixed,336,336,9,144,1638.0,33151.0,28224,6565,0.04941027419987331,0.2495049504950495
1000.png,PruneSID,336,336,9,143,3603.0,30990.0,28028,6565,0.11626331074540175,0.5488194973343489
1001.png,DRIP,336,336,13,145,4585.0,34527.0,28420,10692,0.13279462449677065,0.42882528993640107
1001.png,Fixed,336,336,13,144,2816.0,36100.0,28224,10692,0.07800554016620499,0.26337448559670784
1001.png,PruneSID,336,336,13,143,4765.0,33955.0,28028,10692,0.14033279340303342,0.4456603067714179
1002.png,DRIP,336,336,25,144,10669.0,37216.0,28224,19661,0.28667777300085984,0.5426478815930014
1002.png,Fixed,336,336,25,144,5210.0,42675.0,28224,19661,0.1220855301698887,0.26499160775138597
1002.png,PruneSID,336,336,25,143,9164.0,38525.0,28028,19661,0.23787151200519144,0.46610040181069123
1003.png,DRIP,336,336,20,145,12165.0,45416.0,28420,29161,0.26785714285714285,0.41716676382840095
1003.png,Fixed,336,336,20,144,7461.0,49924.0,28224,29161,0.14944715968271774,0.25585542333939165
1003.png,PruneSID,336,336,20,143,11939.0,45250.0,28028,29161,0.2638453038674033,0.40941668667055314
1004.png,DRIP,336,336,42,144,12944.0,40906.0,28224,25626,0.31643279714467315,0.5051119956294389
1004.png,Fixed,336,336,42,144,6782.0,47068.0,28224,25626,0.14408940256649952,0.2646530867088114
1004.png,PruneSID,336,336,42,143,10316.0,43338.0,28028,25626,0.23803590382574186,0.4025599001014595
1005.png,DRIP,336,336,39,145,10301.0,43925.0,28420,25806,0.234513375071144,0.399170735487871
1005.png,Fixed,336,336,39,144,6615.0,47415.0,28224,25806,0.13951281240113889,0.25633573587537783
1005.png,PruneSID,336,336,39,143,8718.0,45116.0,28028,25806,0.19323521588793333,0.33782841199721
1006.png,DRIP,336,336,33,145,6264.0,37386.0,28420,15230,0.16754935002407317,0.4112934996717006
1006.png,Fixed,336,336,33,144,5123.0,38331.0,28224,15230,0.13365161357647856,0.3363755745239659
1006.png,PruneSID,336,336,33,143,5976.0,37282.0,28028,15230,0.16029182983745507,0.39238345370978334
1007.png,DRIP,336,336,51,144,10965.0,54004.0,28224,36745,0.2030405155173691,0.29840794665940945
1007.png,Fixed,336,336,51,144,8938.0,56031.0,28224,36745,0.15951883778622547,0.24324397877262213
1007.png,PruneSID,336,336,51,143,12870.0,51903.0,28028,36745,0.24796254551760014,0.35025173492992245
1008.png,DRIP,336,336,19,144,5721.0,35275.0,28224,12772,0.16218284904323174,0.4479329783902286
1008.png,Fixed,336,336,19,144,3088.0,37908.0,28224,12772,0.08146037775667406,0.24177889132477295
1008.png,PruneSID,336,336,19,143,5029.0,35771.0,28028,12772,0.14058874507282434,0.39375195740682745
1009.png,DRIP,336,336,133,144,14257.0,75654.0,28224,61687,0.18845004890686545,0.23111838799098675
1009.png,Fixed,336,336,133,144,15193.0,74718.0,28224,61687,0.20333788377633236,0.24629176325643976
1009.png,PruneSID,336,336,133,143,15873.0,73842.0,28028,61687,0.21495896644186235,0.25731515554330736
101.png,DRIP,336,336,7,144,2887.0,32343.0,28224,7006,0.08926197322449989,0.4120753639737368
101.png,Fixed,336,336,7,144,1741.0,33489.0,28224,7006,0.05198721968407537,0.24850128461318868
101.png,PruneSID,336,336,7,143,2666.0,32368.0,28028,7006,0.08236529906080078,0.3805309734513274
1010.png,DRIP,336,336,60,144,7839.0,56290.0,28224,35905,0.13926096997690532,0.21832613842083276
1010.png,Fixed,336,336,60,144,9212.0,54917.0,28224,35905,0.16774405011198718,0.25656593789165855
1010.png,PruneSID,336,336,60,143,10351.0,53582.0,28028,35905,0.1931805457056474,0.28828853920066844
1011.png,DRIP,336,336,56,144,8490.0,49533.0,28224,29799,0.17140088425897887,0.28490888956005234
1011.png,Fixed,336,336,56,144,7764.0,50259.0,28224,29799,0.15447979466364234,0.2605456558944931
1011.png,PruneSID,336,336,56,143,9908.0,47919.0,28028,29799,0.20676558358897307,0.3324943790060069
1012.png,DRIP,336,336,44,145,10792.0,43364.0,28420,25736,0.2488700304399963,0.4193347839602114
1012.png,Fixed,336,336,44,144,7050.0,46910.0,28224,25736,0.1502877851204434,0.27393534348772147
1012.png,PruneSID,336,336,44,143,11367.0,42397.0,28028,25736,0.2681085925890983,0.4416770282872241
1013.png,DRIP,336,336,16,145,1981.0,33734.0,28420,7295,0.058724135886642555,0.27155586017820427
1013.png,Fixed,336,336,16,144,1710.0,33809.0,28224,7295,0.05057824839539767,0.23440712816997944
1013.png,PruneSID,336,336,16,143,4304.0,31019.0,28028,7295,0.13875366710725684,0.5899931459904044
1014.png,DRIP,336,336,19,145,12322.0,41431.0,28420,25333,0.29741015181868646,0.48640113685706393
1014.png,Fixed,336,336,19,144,7171.0,46386.0,28224,25333,0.15459405855214936,0.2830695140725536
1014.png,PruneSID,336,336,19,143,9761.0,43600.0,28028,25333,0.22387614678899082,0.3853077014171239
1015.png,DRIP,336,336,16,144,5700.0,33153.0,28224,10629,0.17193014206859109,0.5362686988427886
1015.png,Fixed,336,336,16,144,2356.0,36497.0,28224,10629,0.06455325095213305,0.22165772885501928
1015.png,PruneSID,336,336,16,143,6906.0,31751.0,28028,10629,0.21750496047368587,0.6497318656505786
1016.png,DRIP,336,336,77,144,13480.0,56098.0,28224,41354,0.2402937716139613,0.3259660492334478
1016.png,Fixed,336,336,77,144,9874.0,59704.0,28224,41354,0.16538255393273482,0.2387677129177347
1016.png,PruneSID,336,336,77,143,13174.0,56208.0,28028,41354,0.23437944776544264,0.3185665231900179
1017.png,DRIP,336,336,46,144,10004.0,48076.0,28224,29856,0.20808719527414926,0.335075026795284
1017.png,Fixed,336,336,46,144,7453.0,50627.0,28224,29856,0.14721393722717127,0.24963156484458734
