image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
1012.png,Fixed,336,336,44,72,3213.0,36635.0,14112,25736,0.08770301624129931,0.12484457569163818
1012.png,PruneSID,336,336,44,71,6425.0,33227.0,13916,25736,0.19336684022030276,0.24965029530618588
1013.png,DRIP,336,336,16,73,1435.0,20168.0,14308,7295,0.07115232050773503,0.19671007539410554
1013.png,Fixed,336,336,16,72,484.0,20923.0,14112,7295,0.023132437986904363,0.06634681288553804
1013.png,PruneSID,336,336,16,71,2245.0,18966.0,13916,7295,0.11836971422545609,0.30774503084304317
1014.png,DRIP,336,336,19,73,5976.0,33665.0,14308,25333,0.17751373830387643,0.23589784076106265
1014.png,Fixed,336,336,19,72,3247.0,36198.0,14112,25333,0.08970108845792585,0.12817273911498836
1014.png,PruneSID,336,336,19,71,6680.0,32569.0,13916,25333,0.20510301206668918,0.263687680101054
1015.png,DRIP,336,336,16,72,2222.0,22519.0,14112,10629,0.09867223233713752,0.2090507103208204
1015.png,Fixed,336,336,16,72,1096.0,23645.0,14112,10629,0.046352294353986044,0.10311412174240286
1015.png,PruneSID,336,336,16,71,4301.0,20244.0,13916,10629,0.21245801225054337,0.4046476620566375
1016.png,DRIP,336,336,77,72,5997.0,49469.0,14112,41354,0.12122743536356102,0.14501620157663103
1016.png,Fixed,336,336,77,72,4987.0,50479.0,14112,41354,0.09879355771707046,0.12059292934178072
1016.png,PruneSID,336,336,77,71,8203.0,47067.0,13916,41354,0.17428346824739202,0.19836049717076945
1017.png,DRIP,336,336,46,72,4680.0,39288.0,14112,29856,0.11912034208918754,0.1567524115755627
1017.png,Fixed,336,336,46,72,3638.0,40330.0,14112,29856,0.09020580213240764,0.12185155412647374
1017.png,PruneSID,336,336,46,71,7068.0,36704.0,13916,29856,0.19256756756756757,0.2367363344051447
1018.png,DRIP,336,336,40,73,4037.0,36090.0,14308,25819,0.11185924078692158,0.15635772105813547
1018.png,Fixed,336,336,40,72,3774.0,36157.0,14112,25819,0.10437812871643112,0.1461714241450095
1018.png,PruneSID,336,336,40,71,5775.0,33960.0,13916,25819,0.1700530035335689,0.22367248925210118
1019.png,DRIP,336,336,36,73,3852.0,32377.0,14308,21921,0.11897334527596751,0.1757219104967839
1019.png,Fixed,336,336,36,72,2987.0,33046.0,14112,21921,0.09038915451189251,0.13626203184161306
1019.png,PruneSID,336,336,36,71,5702.0,30135.0,13916,21921,0.18921519827443173,0.26011587062634006
102.png,DRIP,336,336,11,72,2570.0,21369.0,14112,9827,0.12026767747671861,0.2615243716291849
102.png,Fixed,336,336,11,72,1274.0,22665.0,14112,9827,0.05621001544231193,0.1296428207998372
102.png,PruneSID,336,336,11,71,2954.0,20789.0,13916,9827,0.14209437683390255,0.3006003866897324
1020.png,DRIP,336,336,56,73,1767.0,29501.0,14308,16960,0.05989627470255245,0.10418632075471698
1020.png,Fixed,336,336,56,72,1781.0,29291.0,14112,16960,0.060803659827250695,0.10501179245283018
1020.png,PruneSID,336,336,56,71,3850.0,27026.0,13916,16960,0.14245541330570563,0.2270047169811321
1021.png,DRIP,336,336,28,72,2121.0,27193.0,14112,15202,0.07799801419482955,0.1395211156426786
1021.png,Fixed,336,336,28,72,1440.0,27874.0,14112,15202,0.05166104613618426,0.09472437837126693
1021.png,PruneSID,336,336,28,71,5504.0,23614.0,13916,15202,0.2330820699584992,0.36205762399684255
1022.png,DRIP,336,336,51,73,5376.0,42537.0,14308,33605,0.12638408914592003,0.15997619401874721
1022.png,Fixed,336,336,51,72,3695.0,44022.0,14112,33605,0.08393530507473536,0.10995387591132272
1022.png,PruneSID,336,336,51,71,6828.0,40693.0,13916,33605,0.16779298650873614,0.20318404999256062
1023.png,DRIP,336,336,52,72,4101.0,39558.0,14112,29547,0.10367055968451387,0.13879581683419637
1023.png,Fixed,336,336,52,72,3910.0,39749.0,14112,29547,0.09836725452212634,0.13233153958100652
1023.png,PruneSID,336,336,52,71,6548.0,36915.0,13916,29547,0.17738046864418258,0.22161302331878024
1024.png,DRIP,336,336,14,72,2164.0,25079.0,14112,13131,0.08628733203078273,0.16480085294341634
1024.png,Fixed,336,336,14,72,1787.0,25456.0,14112,13131,0.07019956002514142,0.1360901683040134
1024.png,PruneSID,336,336,14,71,3948.0,23099.0,13916,13131,0.1709164898913373,0.3006625542609093
1025.png,DRIP,336,336,10,73,3068.0,22082.0,14308,10842,0.1389366905171633,0.2829736211031175
1025.png,Fixed,336,336,10,72,1057.0,23897.0,14112,10842,0.04423149349290706,0.09749123777900756
1025.png,PruneSID,336,336,10,71,2811.0,21947.0,13916,10842,0.12808128673622818,0.2592695074709463
1026.png,DRIP,336,336,4,72,90.0,16830.0,14112,2808,0.0053475935828877,0.03205128205128205
1026.png,Fixed,336,336,4,72,252.0,16668.0,14112,2808,0.01511879049676026,0.08974358974358974
1026.png,PruneSID,336,336,4,71,846.0,15878.0,13916,2808,0.05328126968132007,0.30128205128205127
1027.png,DRIP,336,336,9,72,2999.0,21621.0,14112,10508,0.13870773784746313,0.2854015987818805
1027.png,Fixed,336,336,9,72,1280.0,23340.0,14112,10508,0.054841473864610114,0.12181195279786829
1027.png,PruneSID,336,336,9,71,3979.0,20445.0,13916,10508,0.1946197114208853,0.3786638751427484
1028.png,DRIP,336,336,2,72,1741.0,15526.0,14112,3155,0.11213448409120186,0.5518225039619651
1028.png,Fixed,336,336,2,72,289.0,16978.0,14112,3155,0.017022028507480268,0.09160063391442155
1028.png,PruneSID,336,336,2,71,1763.0,15308.0,13916,3155,0.1151685393258427,0.5587955625990492
1029.png,DRIP,336,336,18,72,2269.0,30894.0,14112,19051,0.07344468181523921,0.11910135950868721
1029.png,Fixed,336,336,18,72,2688.0,30475.0,14112,19051,0.08820344544708777,0.14109495564537294
1029.png,PruneSID,336,336,18,71,6557.0,26410.0,13916,19051,0.24827716773949263,0.34418140780011547
103.png,DRIP,336,336,11,73,2136.0,24522.0,14308,12350,0.08710545632493272,0.17295546558704453
103.png,Fixed,336,336,11,72,1526.0,24936.0,14112,12350,0.06119666345845364,0.12356275303643725
103.png,PruneSID,336,336,11,71,3805.0,22461.0,13916,12350,0.16940474600418504,0.30809716599190284
1030.png,DRIP,336,336,46,72,3669.0,31684.0,14112,21241,0.11579977275596516,0.17273198060354975
1030.png,Fixed,336,336,46,72,3320.0,32033.0,14112,21241,0.10364311803452689,0.15630149239677982
1030.png,PruneSID,336,336,46,71,6418.0,28739.0,13916,21241,0.22332022686941091,0.3021514994585942
1031.png,DRIP,336,336,34,72,5355.0,37454.0,14112,28697,0.14297538313664762,0.18660487158936473
1031.png,Fixed,336,336,34,72,3795.0,39014.0,14112,28697,0.0972727738760445,0.13224378854932572
1031.png,PruneSID,336,336,34,71,7179.0,35434.0,13916,28697,0.20260202065812496,0.2501655225284873
1032.png,DRIP,336,336,51,72,5780.0,53056.0,14112,44724,0.10894149577804584,0.12923709864949467
1032.png,Fixed,336,336,51,72,5488.0,53348.0,14112,44724,0.1028717102796731,0.12270816563813612
