image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0.png,DRIP,336,336,2,58,217.0,21118.0,11368,9967,0.010275594279761342,0.021771847095414867
0.png,Fixed,336,336,2,57,896.0,20243.0,11172,9967,0.044262214098700785,0.08989665897461624
0.png,PruneSID,336,336,2,57,1530.0,19609.0,11172,9967,0.0780253965016064,0.15350657168656567
1.png,DRIP,336,336,11,59,4405.0,15872.0,11564,8713,0.2775327620967742,0.5055663950418914
1.png,Fixed,336,336,11,57,778.0,19107.0,11172,8713,0.04071806144345005,0.08929186273384598
1.png,PruneSID,336,336,11,57,2771.0,17114.0,11172,8713,0.1619142222741615,0.31803052909445656
10.png,DRIP,336,336,44,59,3331.0,26800.0,11564,18567,0.12429104477611941,0.17940431949157107
10.png,Fixed,336,336,44,57,2281.0,27458.0,11172,18567,0.08307232864738874,0.12285237248882426
10.png,PruneSID,336,336,44,57,4487.0,25252.0,11172,18567,0.17768889592903533,0.24166532019173803
100.png,DRIP,336,336,14,59,1673.0,20291.0,11564,10400,0.08245034744467991,0.1608653846153846
100.png,Fixed,336,336,14,57,992.0,20580.0,11172,10400,0.048202137998056366,0.09538461538461539
100.png,PruneSID,336,336,14,57,3180.0,18392.0,11172,10400,0.17290126141800782,0.3057692307692308
1000.png,DRIP,336,336,9,59,1422.0,16707.0,11564,6565,0.08511402406177052,0.2166031987814166
1000.png,Fixed,336,336,9,57,668.0,17069.0,11172,6565,0.03913527447419298,0.10175171363290175
1000.png,PruneSID,336,336,9,57,1510.0,16227.0,11172,6565,0.09305478523448574,0.23000761614623
1001.png,DRIP,336,336,13,59,2569.0,19687.0,11564,10692,0.13049220297658354,0.24027310138421248
1001.png,Fixed,336,336,13,57,825.0,21039.0,11172,10692,0.03921289034649936,0.07716049382716049
1001.png,PruneSID,336,336,13,57,3294.0,18570.0,11172,10692,0.17738287560581584,0.30808080808080807
1002.png,DRIP,336,336,25,59,4452.0,26773.0,11564,19661,0.16628693086318305,0.226438126239764
1002.png,Fixed,336,336,25,57,1710.0,29123.0,11172,19661,0.058716478384781785,0.08697421290880424
1002.png,PruneSID,336,336,25,57,5280.0,25553.0,11172,19661,0.20662935858803272,0.26855195564823764
1003.png,DRIP,336,336,20,59,4628.0,36097.0,11564,29161,0.1282101005623736,0.15870511985185692
1003.png,Fixed,336,336,20,57,3115.0,37218.0,11172,29161,0.08369606104573056,0.10682075374644216
1003.png,PruneSID,336,336,20,57,6335.0,33998.0,11172,29161,0.18633449026413318,0.21724220705737116
1004.png,DRIP,336,336,42,59,4013.0,33177.0,11564,25626,0.12095728968863972,0.15659876687739016
1004.png,Fixed,336,336,42,57,2633.0,34165.0,11172,25626,0.07706717400848821,0.10274720986498088
1004.png,PruneSID,336,336,42,57,6158.0,30640.0,11172,25626,0.20097911227154047,0.2403028174510263
1005.png,DRIP,336,336,39,59,3307.0,34063.0,11564,25806,0.09708481343393124,0.1281484925986205
1005.png,Fixed,336,336,39,57,2469.0,34509.0,11172,25806,0.07154655307311136,0.0956754243199256
1005.png,PruneSID,336,336,39,57,5563.0,31415.0,11172,25806,0.17708101225529205,0.2155700224753933
1006.png,DRIP,336,336,33,59,2727.0,24067.0,11564,15230,0.11330867993518096,0.17905449770190413
1006.png,Fixed,336,336,33,57,1542.0,24860.0,11172,15230,0.062027353177795654,0.10124753775443204
1006.png,PruneSID,336,336,33,57,4734.0,21668.0,11172,15230,0.2184788628392099,0.3108338804990151
1007.png,DRIP,336,336,51,59,5857.0,42452.0,11564,36745,0.1379675869216998,0.15939583616818614
1007.png,Fixed,336,336,51,57,3579.0,44338.0,11172,36745,0.08072082637917813,0.09740100693971969
1007.png,PruneSID,336,336,51,57,6093.0,41824.0,11172,36745,0.1456819051262433,0.16581847870458566
1008.png,DRIP,336,336,19,58,3403.0,20737.0,11368,12772,0.1641028113999132,0.2664422173504541
1008.png,Fixed,336,336,19,57,865.0,23079.0,11172,12772,0.03747996013692101,0.06772627622925148
1008.png,PruneSID,336,336,19,57,2783.0,21161.0,11172,12772,0.1315155238410283,0.21789852803006576
1009.png,DRIP,336,336,133,59,5150.0,68101.0,11564,61687,0.07562297176252919,0.08348598570201177
1009.png,Fixed,336,336,133,57,6022.0,66837.0,11172,61687,0.09009979502371442,0.09762186522281842
1009.png,PruneSID,336,336,133,57,7295.0,65564.0,11172,61687,0.11126532853395156,0.11825830401867492
101.png,DRIP,336,336,7,59,1439.0,17131.0,11564,7006,0.08399976650516608,0.2053953753925207
101.png,Fixed,336,336,7,57,698.0,17480.0,11172,7006,0.039931350114416474,0.09962888952326578
101.png,PruneSID,336,336,7,57,2207.0,15971.0,11172,7006,0.13818796568780917,0.31501570082786184
1010.png,DRIP,336,336,60,58,3308.0,43965.0,11368,35905,0.07524166950983736,0.09213201503968807
1010.png,Fixed,336,336,60,57,3447.0,43630.0,11172,35905,0.07900527160210864,0.0960033421529035
1010.png,PruneSID,336,336,60,57,5414.0,41663.0,11172,35905,0.12994743537431294,0.1507867984960312
1011.png,DRIP,336,336,56,59,3301.0,38062.0,11564,29799,0.08672691923703431,0.11077552938018054
