class_idx,class_name,total,correct,accuracy
436,beach wagon,50,30,0.6000000238418579
437,beacon,50,35,0.699999988079071
438,beaker,50,13,0.25999999046325684
439,bearskin,50,43,0.8600000143051147
440,beer bottle,50,32,0.6399999856948853
441,beer glass,50,31,0.6200000047683716
442,bell cote,50,27,0.5400000214576721
443,bib,50,28,0.5600000023841858
444,bicycle-built-for-two,50,41,0.8199999928474426
445,bikini,50,30,0.6000000238418579
446,binder,50,22,0.4399999976158142
447,binoculars,50,26,0.5199999809265137
448,birdhouse,50,42,0.8399999737739563
449,boathouse,50,40,0.800000011920929
450,bobsled,50,46,0.9200000166893005
451,bolo tie,50,39,0.7799999713897705
452,bonnet,50,30,0.6000000238418579
453,bookcase,50,32,0.6399999856948853
454,bookshop,50,21,0.41999998688697815
455,bottlecap,50,31,0.6200000047683716
456,bow,50,28,0.5600000023841858
457,bow tie,50,31,0.6200000047683716
458,brass,50,43,0.8600000143051147
459,brassiere,50,26,0.5199999809265137
460,breakwater,50,32,0.6399999856948853
461,breastplate,50,15,0.30000001192092896
462,broom,50,31,0.6200000047683716
463,bucket,50,24,0.47999998927116394
464,buckle,50,23,0.46000000834465027
465,bulletproof vest,50,25,0.5
466,bullet train,50,47,0.9399999976158142
467,butcher shop,50,37,0.7400000095367432
468,cab,50,32,0.6399999856948853
469,caldron,50,23,0.46000000834465027
470,candle,50,25,0.5
471,cannon,50,43,0.8600000143051147
472,canoe,50,47,0.9399999976158142
473,can opener,50,28,0.5600000023841858
474,cardigan,50,29,0.5799999833106995
475,car mirror,50,43,0.8600000143051147
476,carousel,50,50,1.0
477,carpenter's kit,50,29,0.5799999833106995
478,carton,50,22,0.4399999976158142
479,car wheel,50,21,0.41999998688697815
480,cash machine,50,36,0.7200000286102295
481,cassette,50,24,0.47999998927116394
482,cassette player,50,14,0.2800000011920929
483,castle,50,36,0.7200000286102295
484,catamaran,50,34,0.6800000071525574
485,CD player,50,25,0.5
486,cello,50,40,0.800000011920929
487,cellular telephone,50,35,0.699999988079071
488,chain,50,13,0.25999999046325684
489,chainlink fence,50,30,0.6000000238418579
490,chain mail,50,35,0.699999988079071
491,chain saw,50,41,0.8199999928474426
492,chest,50,33,0.6600000262260437
493,chiffonier,50,15,0.30000001192092896
494,chime,50,27,0.5400000214576721
495,china cabinet,50,37,0.7400000095367432
496,Christmas stocking,50,41,0.8199999928474426
497,church,50,30,0.6000000238418579
498,cinema,50,28,0.5600000023841858
499,cleaver,50,10,0.20000000298023224
500,cliff dwelling,50,49,0.9800000190734863
501,cloak,50,12,0.23999999463558197
502,clog,50,25,0.5
503,cocktail shaker,50,24,0.47999998927116394
504,coffee mug,50,18,0.36000001430511475
505,coffeepot,50,25,0.5
506,coil,50,31,0.6200000047683716
507,combination lock,50,27,0.5400000214576721
508,computer keyboard,50,36,0.7200000286102295
509,confectionery,50,25,0.5
510,container ship,50,44,0.8799999952316284
511,convertible,50,31,0.6200000047683716
512,corkscrew,50,36,0.7200000286102295
513,cornet,50,22,0.4399999976158142
514,cowboy boot,50,30,0.6000000238418579
515,cowboy hat,50,30,0.6000000238418579
516,cradle,50,15,0.30000001192092896
517,crane,50,40,0.800000011920929
518,crash helmet,50,45,0.8999999761581421
519,crate,50,29,0.5799999833106995
520,crib,50,38,0.7599999904632568
521,Crock Pot,50,38,0.7599999904632568
522,croquet ball,50,38,0.7599999904632568
523,crutch,50,17,0.3400000035762787
524,cuirass,50,31,0.6200000047683716
525,dam,50,37,0.7400000095367432
526,desk,50,23,0.46000000834465027
527,desktop computer,50,34,0.6800000071525574
528,dial telephone,50,44,0.8799999952316284
529,diaper,50,28,0.5600000023841858
530,digital clock,50,29,0.5799999833106995
531,digital watch,50,26,0.5199999809265137
532,dining table,50,39,0.7799999713897705
533,dishrag,50,45,0.8999999761581421
534,dishwasher,50,24,0.47999998927116394
535,disk brake,50,47,0.9399999976158142
536,dock,50,21,0.41999998688697815
537,dogsled,50,43,0.8600000143051147
538,dome,50,37,0.7400000095367432
