image,dataset_name,question_type,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0,rico,APP agent en,DRIP,336,336,30,72,3983.0,26568.0,14112,16439,0.14991719361638062,0.2422896769876513
0,rico,APP agent en,Fixed,336,336,30,72,1860.0,28691.0,14112,16439,0.06482869192429681,0.11314556846523512
1,rico,APP agent en,DRIP,336,336,7,72,2373.0,19509.0,14112,7770,0.1216361679224973,0.3054054054054054
1,rico,APP agent en,Fixed,336,336,7,72,1147.0,20735.0,14112,7770,0.05531709669640704,0.14761904761904762
2,rico,APP agent en,DRIP,336,336,15,72,2771.0,22048.0,14112,10707,0.12568033381712626,0.2588026524703465
2,rico,APP agent en,Fixed,336,336,15,72,1580.0,23239.0,14112,10707,0.06798915615990361,0.14756701223498644
3,rico,APP agent en,DRIP,336,336,7,72,1386.0,24305.0,14112,11579,0.057025303435507095,0.11969945591156404
3,rico,APP agent en,Fixed,336,336,7,72,1200.0,24491.0,14112,11579,0.048997590951778205,0.10363589256412471
4,rico,APP agent en,DRIP,336,336,26,72,3116.0,31086.0,14112,20090,0.10023804928263527,0.15510204081632653
4,rico,APP agent en,Fixed,336,336,26,72,2894.0,31308.0,14112,20090,0.09243643797112559,0.14405176704828274
5,rico,APP agent en,DRIP,336,336,6,73,1450.0,19764.0,14308,6906,0.07336571544221818,0.20996235157833767
5,rico,APP agent en,Fixed,336,336,6,72,668.0,20350.0,14112,6906,0.03282555282555283,0.09672748334781349
6,rico,APP agent en,DRIP,336,336,16,73,2537.0,23613.0,14308,11842,0.10744081649938593,0.21423745988853235
6,rico,APP agent en,Fixed,336,336,16,72,1807.0,24147.0,14112,11842,0.07483331262682735,0.1525924674885999
7,rico,APP agent en,DRIP,336,336,27,72,4049.0,32163.0,14112,22100,0.12588999782358612,0.18321266968325792
7,rico,APP agent en,Fixed,336,336,27,72,2927.0,33285.0,14112,22100,0.08793750938861349,0.13244343891402716
8,rico,APP agent en,DRIP,336,336,11,72,2168.0,20073.0,14112,8129,0.1080057789069895,0.2666994710296469
8,rico,APP agent en,Fixed,336,336,11,72,893.0,21348.0,14112,8129,0.04183061645118981,0.10985361053020051
9,rico,APP agent en,DRIP,336,336,45,73,3057.0,35851.0,14308,24600,0.08526958801707066,0.12426829268292683
9,rico,APP agent en,Fixed,336,336,45,72,3313.0,35399.0,14112,24600,0.09359021441283652,0.13467479674796748
10,rico,APP agent en,DRIP,336,336,20,73,2385.0,24206.0,14308,12283,0.09852929025861357,0.19417080517788815
10,rico,APP agent en,Fixed,336,336,20,72,1570.0,24825.0,14112,12283,0.06324269889224572,0.1278189367418383
11,rico,APP agent en,DRIP,336,336,59,72,3839.0,41989.0,14112,31716,0.09142870751863583,0.12104300668432337
11,rico,APP agent en,Fixed,336,336,59,72,4214.0,41614.0,14112,31716,0.10126399769308406,0.13286669189052844
12,rico,APP agent en,DRIP,336,336,43,72,4429.0,33966.0,14112,24283,0.1303951009833363,0.1823909731087592
12,rico,APP agent en,Fixed,336,336,43,72,3132.0,35263.0,14112,24283,0.08881830814167825,0.12897912119589836
13,rico,APP agent en,DRIP,336,336,46,73,6762.0,47027.0,14308,39481,0.14378973781019413,0.1712722575416023
13,rico,APP agent en,Fixed,336,336,46,72,4486.0,49107.0,14112,39481,0.09135153847720284,0.11362427496770598
14,rico,APP agent en,DRIP,336,336,11,72,830.0,22304.0,14112,9022,0.037213055954088956,0.09199733983595655
14,rico,APP agent en,Fixed,336,336,11,72,916.0,22218.0,14112,9022,0.04122783328832478,0.10152959432498337
15,rico,APP agent en,DRIP,336,336,3,72,2073.0,23295.0,14112,11256,0.08898905344494527,0.1841684434968017
15,rico,APP agent en,Fixed,336,336,3,72,1490.0,23878.0,14112,11256,0.06240053605829634,0.13237384506041222
16,rico,APP agent en,DRIP,336,336,45,72,3349.0,39850.0,14112,29087,0.08404015056461732,0.11513734658094682
16,rico,APP agent en,Fixed,336,336,45,72,3851.0,39348.0,14112,29087,0.097870285656196,0.13239591570117235
17,rico,APP agent en,DRIP,336,336,53,72,6040.0,52749.0,14112,44677,0.11450454037043356,0.13519260469592856
17,rico,APP agent en,Fixed,336,336,53,72,5098.0,53691.0,14112,44677,0.09495073662252519,0.11410793025494102
18,rico,APP agent en,DRIP,336,336,9,72,1346.0,19179.0,14112,6413,0.07018092705563377,0.20988616871978794
18,rico,APP agent en,Fixed,336,336,9,72,1097.0,19428.0,14112,6413,0.05646489602635372,0.1710587868392328
19,rico,APP agent en,DRIP,336,336,14,72,2870.0,21440.0,14112,10198,0.13386194029850745,0.28142773092763285
19,rico,APP agent en,Fixed,336,336,14,72,1201.0,23109.0,14112,10198,0.051971093513349775,0.11776818984114533
20,rico,APP agent en,DRIP,336,336,43,73,1907.0,34869.0,14308,22468,0.05469041268748745,0.0848762684707139
20,rico,APP agent en,Fixed,336,336,43,72,3417.0,33163.0,14112,22468,0.1030365165998251,0.15208296243546376
21,rico,APP agent en,DRIP,336,336,5,73,5863.0,22840.0,14308,14395,0.2566987740805604,0.4072941993747829
21,rico,APP agent en,Fixed,336,336,5,72,1834.0,26673.0,14112,14395,0.06875866981591872,0.1274053490795415
22,rico,APP agent en,DRIP,336,336,10,72,2088.0,20281.0,14112,8257,0.10295350327893102,0.2528763473416495
22,rico,APP agent en,Fixed,336,336,10,72,1666.0,20703.0,14112,8257,0.0804714292614597,0.20176819668160348
23,rico,APP agent en,DRIP,336,336,12,72,2715.0,25144.0,14112,13747,0.10797804645243397,0.19749763584782135
23,rico,APP agent en,Fixed,336,336,12,72,1302.0,26557.0,14112,13747,0.049026621982904695,0.09471157343420383
24,rico,APP agent en,DRIP,336,336,12,72,1485.0,23253.0,14112,10626,0.0638627273900142,0.13975155279503104
24,rico,APP agent en,Fixed,336,336,12,72,1468.0,23270.0,14112,10626,0.06308551783412118,0.13815170336909469
25,rico,APP agent en,DRIP,336,336,23,73,3193.0,26029.0,14308,14914,0.12267086710976219,0.21409413973447766
25,rico,APP agent en,Fixed,336,336,23,72,1990.0,27036.0,14112,14914,0.07360556295309957,0.13343167493630145
26,rico,APP agent en,DRIP,336,336,23,72,3467.0,39764.0,14112,29119,0.08718941756362539,0.11906315464129949
26,rico,APP agent en,Fixed,336,336,23,72,3623.0,39608.0,14112,29119,0.09147141991516865,0.12442048147257805
27,rico,APP agent en,DRIP,336,336,9,73,407.0,18745.0,14308,4844,0.02171245665510803,0.08402146985962015
27,rico,APP agent en,Fixed,336,336,9,72,311.0,18645.0,14112,4844,0.016680075087154734,0.06420313790255987
28,rico,APP agent en,DRIP,336,336,15,72,2939.0,22923.0,14112,11750,0.12821183963704577,0.2501276595744681
28,rico,APP agent en,Fixed,336,336,15,72,1469.0,24393.0,14112,11750,0.06022219489197721,0.1250212765957447
29,rico,APP agent en,DRIP,336,336,14,72,3316.0,23963.0,14112,13167,0.13838000250386012,0.25184172552593603
29,rico,APP agent en,Fixed,336,336,14,72,1661.0,25618.0,14112,13167,0.06483722382699664,0.1261487050960735
30,rico,APP agent en,DRIP,336,336,33,72,3417.0,32490.0,14112,21795,0.10517082179132041,0.15677907777013075
30,rico,APP agent en,Fixed,336,336,33,72,2685.0,33222.0,14112,21795,0.08081993859490699,0.1231933929800413
31,rico,APP agent en,DRIP,336,336,53,73,5302.0,41760.0,14308,32754,0.12696360153256706,0.161873358979056
31,rico,APP agent en,Fixed,336,336,53,72,4181.0,42685.0,14112,32754,0.09795009956659248,0.1276485314770715
32,rico,APP agent en,DRIP,336,336,8,72,283.0,17652.0,14112,3823,0.01603217765692273,0.07402563431859796
32,rico,APP agent en,Fixed,336,336,8,72,588.0,17347.0,14112,3823,0.03389635095405546,0.1538059115877583
33,rico,APP agent en,DRIP,336,336,70,73,7924.0,57379.0,14308,50995,0.13809930462364278,0.15538778311599177
33,rico,APP agent en,Fixed,336,336,70,72,6973.0,58134.0,14112,50995,0.11994701895620463,0.13673889597019315
34,rico,APP agent en,DRIP,336,336,1,72,368.0,14720.0,14112,976,0.025,0.3770491803278688
34,rico,APP agent en,Fixed,336,336,1,72,0.0,15088.0,14112,976,0.0,0.0
35,rico,APP agent en,DRIP,336,336,115,73,7421.0,83592.0,14308,76705,0.08877643793664465,0.09674727853464572
35,rico,APP agent en,Fixed,336,336,115,72,9995.0,80822.0,14112,76705,0.12366682338967112,0.13030441301088586
36,rico,APP agent en,DRIP,336,336,41,72,3158.0,37356.0,14112,26402,0.08453795909626298,0.11961215059465193
36,rico,APP agent en,Fixed,336,336,41,72,3635.0,36879.0,14112,26402,0.09856557932698826,0.1376789637148701
37,rico,APP agent en,DRIP,336,336,20,72,2381.0,26430.0,14112,14699,0.09008702232311767,0.16198380842234167
37,rico,APP agent en,Fixed,336,336,20,72,1848.0,26963.0,14112,14699,0.06853836739235249,0.12572283828831893
38,rico,APP agent en,DRIP,336,336,11,72,1520.0,20737.0,14112,8145,0.07329893427207407,0.18661755678330263
38,rico,APP agent en,Fixed,336,336,11,72,822.0,21435.0,14112,8145,0.03834849545136459,0.10092081031307551
