image,dataset_name,question_type,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0,rico,APP agent en,DRIP,336,336,30,59,3432.0,24571.0,11564,16439,0.1396768548288633,0.2087718231035951
0,rico,APP agent en,Fixed,336,336,30,57,1610.0,26001.0,11172,16439,0.06192069535787085,0.0979378307682949
0,rico,APP agent en,PruneSID,336,336,30,57,4825.0,22786.0,11172,16439,0.21175283068550865,0.29350933755094594
1,rico,APP agent en,DRIP,336,336,7,58,2407.0,16731.0,11368,7770,0.1438646823262208,0.30978120978120977
1,rico,APP agent en,Fixed,336,336,7,57,994.0,17948.0,11172,7770,0.05538221528861154,0.12792792792792793
1,rico,APP agent en,PruneSID,336,336,7,57,2854.0,16088.0,11172,7770,0.1773993038289408,0.3673101673101673
2,rico,APP agent en,DRIP,336,336,15,59,3257.0,19014.0,11564,10707,0.17129483538445356,0.30419351825908286
2,rico,APP agent en,Fixed,336,336,15,57,990.0,20889.0,11172,10707,0.04739336492890995,0.0924628747548333
2,rico,APP agent en,PruneSID,336,336,15,57,4171.0,17708.0,11172,10707,0.23554325728484302,0.3895582329317269
3,rico,APP agent en,DRIP,336,336,7,59,1547.0,21596.0,11564,11579,0.07163363585849232,0.13360393816391744
3,rico,APP agent en,Fixed,336,336,7,57,1394.0,21357.0,11172,11579,0.0652713396076228,0.12039036186199153
3,rico,APP agent en,PruneSID,336,336,7,57,3264.0,19487.0,11172,11579,0.16749627957099605,0.2818896277744192
4,rico,APP agent en,DRIP,336,336,26,58,3474.0,27984.0,11368,20090,0.12414236706689537,0.17292185166749627
4,rico,APP agent en,Fixed,336,336,26,57,1719.0,29543.0,11172,20090,0.05818637240632299,0.08556495769039323
4,rico,APP agent en,PruneSID,336,336,26,57,5440.0,25822.0,11172,20090,0.21067306947564093,0.2707814833250373
5,rico,APP agent en,DRIP,336,336,6,58,1759.0,16515.0,11368,6906,0.10650923402967,0.25470605270779034
5,rico,APP agent en,Fixed,336,336,6,57,609.0,17469.0,11172,6906,0.03486175510905032,0.08818418766290183
5,rico,APP agent en,PruneSID,336,336,6,57,2932.0,15146.0,11172,6906,0.19358246401690216,0.4245583550535766
6,rico,APP agent en,DRIP,336,336,16,59,2114.0,21292.0,11564,11842,0.09928611685139958,0.1785171423745989
6,rico,APP agent en,Fixed,336,336,16,57,941.0,22073.0,11172,11842,0.042631268971141216,0.07946292855936497
6,rico,APP agent en,PruneSID,336,336,16,57,3555.0,19459.0,11172,11842,0.18269181355670897,0.3002026684681642
7,rico,APP agent en,DRIP,336,336,27,59,4226.0,29438.0,11564,22100,0.1435559480942999,0.19122171945701358
7,rico,APP agent en,Fixed,336,336,27,57,2166.0,31106.0,11172,22100,0.06963286825692792,0.09800904977375566
7,rico,APP agent en,PruneSID,336,336,27,57,5761.0,27511.0,11172,22100,0.20940714623241613,0.2606787330316742
8,rico,APP agent en,DRIP,336,336,11,59,1964.0,17729.0,11564,8129,0.11077894974335833,0.24160413334973552
8,rico,APP agent en,Fixed,336,336,11,57,1060.0,18241.0,11172,8129,0.0581108491858999,0.1303973428465986
8,rico,APP agent en,PruneSID,336,336,11,57,3332.0,15969.0,11172,8129,0.2086542676435594,0.4098905154385533
9,rico,APP agent en,DRIP,336,336,45,59,3677.0,32487.0,11564,24600,0.11318373503247453,0.14947154471544716
9,rico,APP agent en,Fixed,336,336,45,57,2944.0,32828.0,11172,24600,0.08967954185451443,0.11967479674796748
9,rico,APP agent en,PruneSID,336,336,45,57,4293.0,31479.0,11172,24600,0.1363766320404079,0.1745121951219512
10,rico,APP agent en,DRIP,336,336,20,59,2777.0,21070.0,11564,12283,0.1317987660180351,0.22608483269559554
10,rico,APP agent en,Fixed,336,336,20,57,1377.0,22078.0,11172,12283,0.06236977987136516,0.11210616298949767
10,rico,APP agent en,PruneSID,336,336,20,57,4287.0,19168.0,11172,12283,0.22365400667779634,0.3490189693071725
11,rico,APP agent en,DRIP,336,336,59,59,4409.0,38871.0,11564,31716,0.11342646188675362,0.13901500819775509
11,rico,APP agent en,Fixed,336,336,59,57,3211.0,39677.0,11172,31716,0.08092849761826751,0.10124227519233195
11,rico,APP agent en,PruneSID,336,336,59,57,5705.0,37183.0,11172,31716,0.15343033106527176,0.1798776642703998
12,rico,APP agent en,DRIP,336,336,43,58,2862.0,32789.0,11368,24283,0.08728537009362897,0.11786023143763126
12,rico,APP agent en,Fixed,336,336,43,57,2107.0,33348.0,11172,24283,0.06318219983207389,0.08676852118766215
12,rico,APP agent en,PruneSID,336,336,43,57,5412.0,30043.0,11172,24283,0.18014179675798023,0.22287196804348722
13,rico,APP agent en,DRIP,336,336,46,59,6230.0,44815.0,11564,39481,0.13901595447952694,0.1577974215445404
13,rico,APP agent en,Fixed,336,336,46,57,4377.0,46276.0,11172,39481,0.09458466591753825,0.11086345330665383
13,rico,APP agent en,PruneSID,336,336,46,57,7149.0,43504.0,11172,39481,0.16432971680764988,0.18107444087029204
14,rico,APP agent en,DRIP,336,336,11,59,1096.0,19490.0,11564,9022,0.05623396613648025,0.12148082465085347
14,rico,APP agent en,Fixed,336,336,11,57,831.0,19363.0,11172,9022,0.0429169033724113,0.0921081800044336
14,rico,APP agent en,PruneSID,336,336,11,57,3290.0,16904.0,11172,9022,0.1946284902981543,0.36466415428951454
15,rico,APP agent en,DRIP,336,336,3,59,1471.0,21349.0,11564,11256,0.06890252470841726,0.1306858564321251
15,rico,APP agent en,Fixed,336,336,3,57,930.0,21498.0,11172,11256,0.043259838124476695,0.0826226012793177
15,rico,APP agent en,PruneSID,336,336,3,57,3156.0,19272.0,11172,11256,0.16376089663760895,0.28038379530916846
16,rico,APP agent en,DRIP,336,336,45,59,2605.0,38046.0,11564,29087,0.06846974714818903,0.08955890947846117
16,rico,APP agent en,Fixed,336,336,45,57,2577.0,37682.0,11172,29087,0.06838808980415052,0.08859628012514181
16,rico,APP agent en,PruneSID,336,336,45,57,6513.0,33746.0,11172,29087,0.19300065192911753,0.2239144635060336
17,rico,APP agent en,DRIP,336,336,53,58,5524.0,50521.0,11368,44677,0.10934067021634568,0.12364303780468698
17,rico,APP agent en,Fixed,336,336,53,57,4561.0,51288.0,11172,44677,0.0889291842146311,0.1020883228506838
17,rico,APP agent en,PruneSID,336,336,53,57,8474.0,47375.0,11172,44677,0.1788707124010554,0.1896725384425991
18,rico,APP agent en,DRIP,336,336,9,58,1817.0,15964.0,11368,6413,0.11381859183162114,0.28333073444565726
18,rico,APP agent en,Fixed,336,336,9,57,575.0,17010.0,11172,6413,0.03380364491475603,0.08966162482457508
18,rico,APP agent en,PruneSID,336,336,9,57,1975.0,15610.0,11172,6413,0.1265214606021781,0.30796818961484485
19,rico,APP agent en,DRIP,336,336,14,58,2918.0,18648.0,11368,10198,0.15647790647790646,0.2861345361835654
19,rico,APP agent en,Fixed,336,336,14,57,905.0,20465.0,11172,10198,0.04422184216955778,0.08874289076289468
19,rico,APP agent en,PruneSID,336,336,14,57,4443.0,16927.0,11172,10198,0.26248006144030245,0.43567366150225534
20,rico,APP agent en,DRIP,336,336,43,59,2435.0,31597.0,11564,22468,0.07706427825426465,0.1083763574862026
20,rico,APP agent en,Fixed,336,336,43,57,2300.0,31340.0,11172,22468,0.07338864071474155,0.10236781199928788
20,rico,APP agent en,PruneSID,336,336,43,57,4540.0,29100.0,11172,22468,0.15601374570446735,0.20206515933772476
21,rico,APP agent en,DRIP,336,336,5,59,5138.0,20821.0,11564,14395,0.2467700878920321,0.35692948940604374
21,rico,APP agent en,Fixed,336,336,5,57,1442.0,24125.0,11172,14395,0.0597720207253886,0.10017367141368531
21,rico,APP agent en,PruneSID,336,336,5,57,5187.0,20380.0,11172,14395,0.2545142296368989,0.3603334491142758
22,rico,APP agent en,DRIP,336,336,10,58,1559.0,18066.0,11368,8257,0.08629469722129968,0.1888094949739615
22,rico,APP agent en,Fixed,336,336,10,57,568.0,18861.0,11172,8257,0.03011505222416627,0.0687901174760809
22,rico,APP agent en,PruneSID,336,336,10,57,2302.0,17127.0,11172,8257,0.13440766041922111,0.2787937507569335
23,rico,APP agent en,DRIP,336,336,12,59,2181.0,23130.0,11564,13747,0.09429312581063554,0.1586527969738852
23,rico,APP agent en,Fixed,336,336,12,57,1478.0,23441.0,11172,13747,0.06305191758030801,0.10751436677093185
23,rico,APP agent en,PruneSID,336,336,12,57,2746.0,22173.0,11172,13747,0.12384431515807513,0.19975267331054047
24,rico,APP agent en,DRIP,336,336,12,59,2115.0,20075.0,11564,10626,0.10535491905354918,0.19904009034443818
24,rico,APP agent en,Fixed,336,336,12,57,739.0,21059.0,11172,10626,0.03509188470487677,0.06954639563335216
24,rico,APP agent en,PruneSID,336,336,12,57,3631.0,18167.0,11172,10626,0.19986789233225077,0.3417090156220591
25,rico,APP agent en,DRIP,336,336,23,59,3610.0,22868.0,11564,14914,0.15786251530523002,0.24205444548746144
25,rico,APP agent en,Fixed,336,336,23,57,1580.0,24506.0,11172,14914,0.06447400636578797,0.10594072683384739
25,rico,APP agent en,PruneSID,336,336,23,57,5182.0,20904.0,11172,14914,0.24789513968618446,0.34745876357784633
26,rico,APP agent en,DRIP,336,336,23,59,4126.0,36557.0,11564,29119,0.11286484120688241,0.14169442631958515
26,rico,APP agent en,Fixed,336,336,23,57,2763.0,37528.0,11172,29119,0.07362502664677041,0.09488650022322195
26,rico,APP agent en,PruneSID,336,336,23,57,6936.0,33355.0,11172,29119,0.20794483585669316,0.23819499295992308
27,rico,APP agent en,DRIP,336,336,9,59,806.0,15602.0,11564,4844,0.05166004358415588,0.16639141205615193
27,rico,APP agent en,Fixed,336,336,9,57,121.0,15895.0,11172,4844,0.007612456747404845,0.024979355904211395
27,rico,APP agent en,PruneSID,336,336,9,57,2186.0,13830.0,11172,4844,0.15806218365871294,0.4512799339388935
28,rico,APP agent en,DRIP,336,336,15,58,2117.0,21001.0,11368,11750,0.10080472358459121,0.18017021276595746
28,rico,APP agent en,Fixed,336,336,15,57,1244.0,21678.0,11172,11750,0.057385367653842605,0.10587234042553191
28,rico,APP agent en,PruneSID,336,336,15,57,4191.0,18731.0,11172,11750,0.22374673001975334,0.3566808510638298
29,rico,APP agent en,DRIP,336,336,14,59,3645.0,21086.0,11564,13167,0.17286351133453476,0.2768284347231716
29,rico,APP agent en,Fixed,336,336,14,57,1344.0,22995.0,11172,13167,0.058447488584474884,0.10207336523125997
29,rico,APP agent en,PruneSID,336,336,14,57,4099.0,20240.0,11172,13167,0.2025197628458498,0.3113085744664692
30,rico,APP agent en,DRIP,336,336,33,59,3142.0,30217.0,11564,21795,0.10398120263427872,0.14416150493232394
30,rico,APP agent en,Fixed,336,336,33,57,2318.0,30649.0,11172,21795,0.07563052628144475,0.10635466850195
30,rico,APP agent en,PruneSID,336,336,33,57,4611.0,28356.0,11172,21795,0.16261108760050783,0.2115622849277357
31,rico,APP agent en,DRIP,336,336,53,59,5205.0,39113.0,11564,32754,0.13307595939968808,0.15891188862429018
31,rico,APP agent en,Fixed,336,336,53,57,2976.0,40950.0,11172,32754,0.07267399267399267,0.09085913170910423
31,rico,APP agent en,PruneSID,336,336,53,57,6995.0,36931.0,11172,32754,0.18940727302266389,0.21356170238749467
32,rico,APP agent en,DRIP,336,336,8,59,367.0,15020.0,11564,3823,0.024434087882822902,0.09599790740256343
32,rico,APP agent en,Fixed,336,336,8,57,389.0,14606.0,11172,3823,0.026632890592907025,0.10175255035312582
32,rico,APP agent en,PruneSID,336,336,8,57,1507.0,13488.0,11172,3823,0.11172894424673784,0.3941930421135234
33,rico,APP agent en,DRIP,336,336,70,59,6231.0,56328.0,11564,50995,0.11061994034938219,0.12218844984802432
33,rico,APP agent en,Fixed,336,336,70,57,4978.0,57189.0,11172,50995,0.08704471139554809,0.09761741347190901
33,rico,APP agent en,PruneSID,336,336,70,57,7560.0,54607.0,11172,50995,0.13844378925778747,0.14824982841455045
34,rico,APP agent en,DRIP,336,336,1,58,28.0,12316.0,11368,976,0.0022734654108476776,0.028688524590163935
34,rico,APP agent en,Fixed,336,336,1,57,0.0,12148.0,11172,976,0.0,0.0
34,rico,APP agent en,PruneSID,336,336,1,57,714.0,11434.0,11172,976,0.06244533846422949,0.7315573770491803
35,rico,APP agent en,DRIP,336,336,115,59,5067.0,83202.0,11564,76705,0.06089997836590467,0.06605827521022098
35,rico,APP agent en,Fixed,336,336,115,57,7344.0,80533.0,11172,76705,0.09119243043224516,0.09574343263151033
35,rico,APP agent en,PruneSID,336,336,115,57,9003.0,78874.0,11172,76705,0.11414407789639171,0.11737174890815462
36,rico,APP agent en,DRIP,336,336,41,58,4175.0,33595.0,11368,26402,0.12427444560202411,0.15813195970002272
36,rico,APP agent en,Fixed,336,336,41,57,2703.0,34871.0,11172,26402,0.07751426686931834,0.10237860768123627
36,rico,APP agent en,PruneSID,336,336,41,57,5575.0,31999.0,11172,26402,0.17422419450607832,0.2111582455874555
37,rico,APP agent en,DRIP,336,336,20,58,2180.0,23887.0,11368,14699,0.09126303010005442,0.14830940880331994
37,rico,APP agent en,Fixed,336,336,20,57,1536.0,24335.0,11172,14699,0.06311896445448942,0.10449690455133002
37,rico,APP agent en,PruneSID,336,336,20,57,3162.0,22709.0,11172,14699,0.13923994891893082,0.21511667460371453
38,rico,APP agent en,DRIP,336,336,11,59,2108.0,17601.0,11564,8145,0.11976592239077326,0.25880908532842234
38,rico,APP agent en,Fixed,336,336,11,57,719.0,18598.0,11172,8145,0.038660070975373696,0.08827501534683856
38,rico,APP agent en,PruneSID,336,336,11,57,1973.0,17344.0,11172,8145,0.11375691881918819,0.24223449969306324
39,rico,APP agent en,DRIP,336,336,21,58,2508.0,24874.0,11368,16014,0.1008281739969446,0.1566129636568003
39,rico,APP agent en,Fixed,336,336,21,57,1919.0,25267.0,11172,16014,0.07594886610994578,0.11983264643436993
39,rico,APP agent en,PruneSID,336,336,21,57,5181.0,22005.0,11172,16014,0.2354464894342195,0.3235294117647059
40,rico,APP agent en,DRIP,336,336,56,59,3753.0,35923.0,11564,28112,0.10447345711661053,0.1335017074558907
40,rico,APP agent en,Fixed,336,336,56,57,2748.0,36536.0,11172,28112,0.07521348806656449,0.09775184974388161
40,rico,APP agent en,PruneSID,336,336,56,57,5187.0,34097.0,11172,28112,0.15212482036542804,0.18451195219123506
41,rico,APP agent en,DRIP,336,336,8,58,3655.0,22441.0,11368,14728,0.1628715297892251,0.24816675719717546
41,rico,APP agent en,Fixed,336,336,8,57,1226.0,24674.0,11172,14728,0.0496879306152225,0.08324280282455188
41,rico,APP agent en,PruneSID,336,336,8,57,3501.0,22399.0,11172,14728,0.15630162060806285,0.2377104834329169
42,rico,APP agent en,DRIP,336,336,14,58,4622.0,21628.0,11368,14882,0.2137044571851304,0.310576535411907
42,rico,APP agent en,Fixed,336,336,14,57,1646.0,24408.0,11172,14882,0.06743690593248115,0.11060341351968822
42,rico,APP agent en,PruneSID,336,336,14,57,3969.0,22085.0,11172,14882,0.17971473851030112,0.2666980244590781
43,rico,APP agent en,DRIP,336,336,44,59,3286.0,31914.0,11564,23636,0.1029642163313906,0.13902521577255034
43,rico,APP agent en,Fixed,336,336,44,57,2107.0,32701.0,11172,23636,0.06443228035839882,0.08914367913352512
43,rico,APP agent en,PruneSID,336,336,44,57,5087.0,29721.0,11172,23636,0.1711584401601561,0.21522254188525977
44,rico,APP agent en,DRIP,336,336,0,59,,,11564,0,,
44,rico,APP agent en,Fixed,336,336,0,57,,,11172,0,,
44,rico,APP agent en,PruneSID,336,336,0,57,,,11172,0,,
45,rico,APP agent en,DRIP,336,336,27,58,4134.0,36782.0,11368,29548,0.11239193083573487,0.13990794639231083
45,rico,APP agent en,Fixed,336,336,27,57,2715.0,38005.0,11172,29548,0.07143796868833048,0.09188439149857859
45,rico,APP agent en,PruneSID,336,336,27,57,6527.0,34193.0,11172,29548,0.19088702365981342,0.22089481521591986
46,rico,APP agent en,DRIP,336,336,92,59,3632.0,64183.0,11564,56251,0.056588193135253886,0.06456774101793746
46,rico,APP agent en,Fixed,336,336,92,57,5295.0,62128.0,11172,56251,0.08522727272727272,0.0941316598816021
46,rico,APP agent en,PruneSID,336,336,92,57,7651.0,59772.0,11172,56251,0.12800307836445157,0.13601535972693818
47,rico,APP agent en,DRIP,336,336,17,59,1464.0,19650.0,11564,9550,0.07450381679389313,0.15329842931937174
47,rico,APP agent en,Fixed,336,336,17,57,1106.0,19616.0,11172,9550,0.05638254486133768,0.11581151832460733
47,rico,APP agent en,PruneSID,336,336,17,57,4205.0,16517.0,11172,9550,0.25458618393170673,0.44031413612565445
48,rico,APP agent en,DRIP,336,336,12,59,3690.0,18542.0,11564,10668,0.19900765828928918,0.3458942632170979
48,rico,APP agent en,Fixed,336,336,12,57,1392.0,20448.0,11172,10668,0.06807511737089202,0.13048368953880765
48,rico,APP agent en,PruneSID,336,336,12,57,4110.0,17730.0,11172,10668,0.23181049069373943,0.38526434195725534
49,rico,APP agent en,DRIP,336,336,34,59,3664.0,26564.0,11564,18664,0.13793103448275862,0.19631375910844406
49,rico,APP agent en,Fixed,336,336,34,57,1485.0,28351.0,11172,18664,0.052379104793481714,0.07956493784826404
49,rico,APP agent en,PruneSID,336,336,34,57,5133.0,24703.0,11172,18664,0.20778852770918513,0.27502143163309045
50,rico,APP agent en,DRIP,336,336,35,59,5698.0,32330.0,11564,26464,0.17624497370862977,0.21531136638452236
50,rico,APP agent en,Fixed,336,336,35,57,2416.0,35220.0,11172,26464,0.06859738784781375,0.0912938331318017
50,rico,APP agent en,PruneSID,336,336,35,57,3411.0,34225.0,11172,26464,0.09966398831263697,0.1288920798065296
51,rico,APP agent en,DRIP,336,336,44,59,3559.0,38597.0,11564,30592,0.09220923906003058,0.11633760460251046
51,rico,APP agent en,Fixed,336,336,44,57,2873.0,38891.0,11172,30592,0.07387313260137307,0.09391344142259414
51,rico,APP agent en,PruneSID,336,336,44,57,7248.0,34516.0,11172,30592,0.2099895700544675,0.23692468619246862
52,rico,APP agent en,DRIP,336,336,5,58,683.0,14432.0,11368,3747,0.04732538802660754,0.18227915665866026
52,rico,APP agent en,Fixed,336,336,5,57,490.0,14429.0,11172,3747,0.03395938734493035,0.13077128369362157
52,rico,APP agent en,PruneSID,336,336,5,57,1495.0,13424.0,11172,3747,0.11136769964243147,0.39898585535094744
