image,dataset_name,question_type,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
23,rico,APP agent en,Fixed,336,336,12,144,3541.0,38430.0,28224,13747,0.0921415560759823,0.2575834727576926
24,rico,APP agent en,DRIP,336,336,12,144,4222.0,34628.0,28224,10626,0.12192445419891418,0.3973273103707886
24,rico,APP agent en,Fixed,336,336,12,144,2510.0,36340.0,28224,10626,0.06906989543203082,0.23621306230001882
25,rico,APP agent en,DRIP,336,336,23,145,9086.0,34248.0,28420,14914,0.26530016351319785,0.6092262303875553
25,rico,APP agent en,Fixed,336,336,23,144,3545.0,39593.0,28224,14914,0.08953602909605234,0.23769612444682847
26,rico,APP agent en,DRIP,336,336,23,144,12516.0,44827.0,28224,29119,0.2792067280879827,0.42982245269411723
26,rico,APP agent en,Fixed,336,336,23,144,7429.0,49914.0,28224,29119,0.14883599791641625,0.25512551942030975
27,rico,APP agent en,DRIP,336,336,9,144,2501.0,30567.0,28224,4844,0.08182026368305689,0.5163088356729976
27,rico,APP agent en,Fixed,336,336,9,144,1379.0,31689.0,28224,4844,0.043516677711508724,0.2846820809248555
28,rico,APP agent en,DRIP,336,336,15,144,8540.0,31434.0,28224,11750,0.27168034612203346,0.7268085106382979
28,rico,APP agent en,Fixed,336,336,15,144,3186.0,36788.0,28224,11750,0.08660432749809721,0.27114893617021274
29,rico,APP agent en,DRIP,336,336,14,144,7618.0,33773.0,28224,13167,0.22556480028425074,0.5785676311992102
29,rico,APP agent en,Fixed,336,336,14,144,2769.0,38622.0,28224,13167,0.07169488892341153,0.2102984734563682
30,rico,APP agent en,DRIP,336,336,33,144,8217.0,41802.0,28224,21795,0.19656954212717095,0.37701307639366827
30,rico,APP agent en,Fixed,336,336,33,144,5612.0,44407.0,28224,21795,0.1263764721778098,0.2574902500573526
31,rico,APP agent en,DRIP,336,336,53,144,11494.0,49484.0,28224,32754,0.23227709966857973,0.35091897172864384
31,rico,APP agent en,Fixed,336,336,53,144,8823.0,52155.0,28224,32754,0.16916882369859074,0.26937167979483423
32,rico,APP agent en,DRIP,336,336,8,144,1649.0,30398.0,28224,3823,0.05424698993354826,0.4313366466126079
32,rico,APP agent en,Fixed,336,336,8,144,897.0,31150.0,28224,3823,0.028796147672552168,0.23463248757520272
33,rico,APP agent en,DRIP,336,336,70,144,12244.0,66975.0,28224,50995,0.18281448301605077,0.24010197078144915
33,rico,APP agent en,Fixed,336,336,70,144,12950.0,66269.0,28224,50995,0.19541565437836697,0.2539464653397392
34,rico,APP agent en,DRIP,336,336,1,144,956.0,28244.0,28224,976,0.03384789689845631,0.9795081967213115
34,rico,APP agent en,Fixed,336,336,1,144,0.0,29200.0,28224,976,0.0,0.0
35,rico,APP agent en,DRIP,336,336,115,145,20748.0,84377.0,28420,76705,0.2458963935669673,0.27049084153575387
35,rico,APP agent en,Fixed,336,336,115,144,19447.0,85482.0,28224,76705,0.22749818675276667,0.25352975686070006
