Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,76.75,68.42,1425.34,74.43,58.34,34.9,58.16,18.5,23.8,25.61,12.04,85.18,57.4,29.0,8.89
PruMerge,74.01,68.07,1408.83,73.66,55.04,34.6,54.69,14.9,20.3,16.37,10.93,81.36,61.7,27.0,3.18
fixed pooling(no train),68.34,68.07,1272.47,69.04,52.93,33.8,49.94,9.0,16.4,10.51,10.29,80.35,46.2,23.0,3.16
fixed pooling(trained),74.06,67.82,1335.40,71.72,55.67,34.3,55.74,15.7,20.9,18.78,11.10,83.75,64.1,29.9,3.16
