image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
05fab8d9991ca41c.jpg,DRIP,336,336,6,144,6545,31701,28224,10022,0.2064603640263714,0.6530632608261824
05fab8d9991ca41c.jpg,Fixed,336,336,6,144,2628,35618,28224,10022,0.07378291874894716,0.2622231091598483
08b850040f18ae78.jpg,DRIP,336,336,3,144,2135,28670,28224,2581,0.07446808510638298,0.8271987601704766
08b850040f18ae78.jpg,Fixed,336,336,3,144,709,30096,28224,2581,0.023557947900053163,0.27469972878729176
08edcfe24b9ac578.jpg,DRIP,336,336,1,145,6153,33586,28420,11319,0.18320133388912047,0.5435992578849722
08edcfe24b9ac578.jpg,Fixed,336,336,1,144,3234,36309,28224,11319,0.08906882591093117,0.2857142857142857
