image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
05fab8d9991ca41c.jpg,DRIP,336,336,6,144,4030,34216,28224,10022,0.11778115501519756,0.4021153462382758
05fab8d9991ca41c.jpg,Fixed,336,336,6,144,2628,35618,28224,10022,0.07378291874894716,0.2622231091598483
05fab8d9991ca41c.jpg,PruneSID,336,336,6,143,4809,33241,28028,10022,0.14467073794410518,0.47984434244661744
0c0a22bfd0da315a.jpg,DRIP,336,336,13,144,9430,37110,28224,18316,0.2541094044731878,0.5148504040183446
0c0a22bfd0da315a.jpg,Fixed,336,336,13,144,4492,42048,28224,18316,0.1068302891933029,0.2452500545970736
0c0a22bfd0da315a.jpg,PruneSID,336,336,13,143,7678,38666,28028,18316,0.1985723891791238,0.41919633107665427
